First name,Last Name,Email Address,Choice 1,Choice 2,Choice 3
G,M,g,1,2,3
J,M,j,2,1,3
K,K,K,3,2,1
P,C,p,4,3,2
O,T,t,5,4,3
E,C,2,6,5,4
R,C,r,7,6,5
N,D,N,8,7,6
B,W,b,9,8,7
A,A,a,10,9,8
L,M,l,11,10,9
R,K,r,12,11,10
Z,W,w,1,12,11
H,F,F,2,3,12
E,B,e,3,2,4
S,S,s,4,2,8
N,J,j,5,2,8
L,L,l,6,2,8
I,E,i,7,4,8
A,T,a,8,5,9
N,S,s,9,6,8
J,T,j,10,7,9
K,T,k,11,8,9
E,G,e,12,9,8
D,K,d,1,10,12
A,M,a,1,11,12
S,T,s,1,12,11
H,M,H,1,2,10
A,P,a,1,2,10
K,C,c,2,3,4
O,P,o,2,3,4
M,P,m,2,3,4
K,T,k,2,3,4
s,D,d,2,4,9
O,S,o,3,5,8
M,T,m,3,6,10
E,V,e,3,7,11
B,Y,b,3,8,9
Y,P,y,3,9,7
M,Z,m,3,10,7
V,P,v,3,11,7
E,C,E,4,12,7
E,M,m,4,1,7
S,S,S,4,2,1
L,L,l,4,3,3
A,A,a,4,5,8
M,Z,m,1,4,6
